"16S rRNA gene: spike reads/total reads (i.e., Rs/Rtotal)"							
Spike level	HLP_Day0	HLP_Day7	HLP_Day30	SYU_Day0	SYU_Day7	SYU_Day30	Mean values (%)
Level 1	0.49 	1.19 	0.24 	0.68 	1.01 	0.37 	0.66 
Level 2	0.65 	0.27 	0.34 	0.32 	0.64 	0.44 	0.45 
Level 3	0.80 	0.27 	0.36 	0.85 	0.75 	0.52 	0.59 
Level 4	2.64 	1.77 	1.50 	4.78 	2.69 	2.04 	2.57 
Level 5	3.28 	2.17 	1.62 	5.95 	3.17 	2.62 	3.14 
Level 6	6.03 	5.27 	3.99 	9.94 	6.84 	5.91 	6.33 
Level 7	44.92 	42.38 	35.29 	61.03 	42.88 	39.50 	44.33 
Level 8	85.50 	83.42 	77.69 	89.76 	82.33 	82.77 	83.57 
							
							
"ITS gene: spike reads/total reads (i.e., Rs/Rtotal)"							
Spike level	HLP_Day0	HLP_Day7	HLP_Day30	SYU_Day0	SYU_Day7	SYU_Day30	Mean values (%)
Level1	1.30 	0.61 	0.64 	2.23 	0.40 	0.19 	0.89 
Level2	1.33 	0.68 	0.52 	1.74 	0.68 	0.17 	0.85 
Level3	1.79 	1.62 	1.49 	5.00 	1.36 	0.44 	1.95 
Level4	15.11 	13.42 	12.04 	29.05 	7.38 	3.91 	13.49 
Level5	38.99 	32.24 	33.57 	58.36 	18.08 	11.26 	32.08 
Level6	66.43 	56.70 	51.15 	81.39 	39.48 	29.61 	54.13 
Level7	74.77 	66.74 	60.81 	90.08 	52.40 	41.98 	64.46 
Level8	77.73 	73.14 	71.80 	93.16 	66.30 	44.30 	71.07 
Level9	90.65 	90.17 	89.39 	98.02 	84.32 	77.02 	88.26 
